transaction_id,merchant_id,customer_id,amount,payment_method,delivery_distance_km,customer_tenure_days,order_item_category,payment_failure_history,is_foreign_ip,hours_since_last_order,transaction_velocity_5min,device_age_days,attempted_payment_method_changes,is_fraud
TXN_00001,103,219,3135.85,UPI,54.37,764,Grocery,3,False,73.23,4,468,0,0
TXN_00002,180,173,2813.27,UPI,65.2,23,Electronics,1,False,42.1,4,1494,0,0
TXN_00003,93,608,992.16,NetBanking,29.74,247,Furniture,1,False,35.77,0,239,1,0
TXN_00004,15,1659,1574.04,UPI,22.03,78,Apparel,4,False,78.61,5,186,1,0
TXN_00005,107,1036,15952.64,UPI,13.68,726,Electronics,1,False,141.9,1,1278,0,0
TXN_00006,72,1540,8997.17,Card,27.55,1418,Furniture,2,False,50.67,1,728,0,0
TXN_00007,189,1386,6820.63,UPI,11.86,1067,Apparel,1,False,6.85,0,848,0,0
TXN_00008,21,858,990.12,Card,26.96,279,Electronics,0,True,46.14,0,1459,0,1
TXN_00009,103,1603,5546.06,Card,103.84,286,Grocery,0,False,0.15,1,1322,0,0
TXN_00010,122,657,309.63,UPI,188.77,955,Furniture,3,False,19.12,2,142,1,0
TXN_00011,75,969,13512.4,NetBanking,43.03,511,Apparel,1,False,58.06,1,1001,1,0
TXN_00012,88,1501,6702.86,UPI,7.89,31,Digital_Goods,0,False,98.48,0,404,0,0
TXN_00013,117,1601,978.21,UPI,27.89,54,Electronics,0,False,21.3,2,324,0,0
TXN_00014,100,1106,34190.76,UPI,46.07,1212,Apparel,2,False,13.39,1,23,0,0
TXN_00015,104,1641,569.41,Card,23.16,182,Digital_Goods,0,False,8.57,1,1395,1,0
TXN_00016,152,1717,9286.97,UPI,11.48,82,Furniture,2,False,31.87,2,828,0,0
TXN_00017,131,1364,9568.25,Wallet,12.86,532,Electronics,0,False,28.43,2,62,0,0
TXN_00018,150,441,1110.31,UPI,32.12,847,Furniture,3,False,32.96,1,99,0,1
TXN_00019,53,617,4696.53,UPI,12.19,92,Grocery,2,False,14.68,5,285,0,0
TXN_00020,2,226,689.39,Wallet,14.35,115,Furniture,0,False,30.43,0,1124,0,0
TXN_00021,88,371,161.48,Card,103.21,920,Grocery,0,False,20.76,1,40,0,0
TXN_00022,158,28,1364.51,UPI,75.49,5,Apparel,0,False,201.01,1,643,0,0
TXN_00023,38,1008,2345.02,Card,2.85,954,Electronics,2,False,10.03,3,416,1,0
TXN_00024,130,995,10647.79,Card,19.3,16,Furniture,3,False,6.13,1,456,0,1
TXN_00025,192,16,5328.84,UPI,37.96,40,Grocery,2,False,80.42,1,602,1,0
TXN_00026,188,1301,5498.63,NetBanking,3.13,792,Grocery,1,False,70.94,1,85,1,0
TXN_00027,21,333,1454.9,Card,57.47,114,Apparel,2,False,81.85,1,1112,0,0
TXN_00028,161,483,2601.87,Card,24.26,101,Digital_Goods,1,False,32.93,1,280,0,0
TXN_00029,58,1834,1610.16,NetBanking,25.31,743,Furniture,0,False,11.86,2,249,0,0
TXN_00030,22,566,1130.07,Card,15.42,312,Apparel,2,False,113.53,2,1011,0,0
TXN_00031,89,1312,2410.43,Card,20.32,172,Grocery,2,False,75.77,0,1004,0,0
TXN_00032,49,114,5374.47,NetBanking,98.91,501,Digital_Goods,1,False,65.75,2,1016,0,0
TXN_00033,59,38,2472.13,NetBanking,77.7,663,Grocery,1,False,1.75,1,1447,0,0
TXN_00034,170,454,3333.56,Card,137.27,794,Furniture,2,False,31.95,0,493,0,0
TXN_00035,188,1906,11315.15,NetBanking,60.03,50,Furniture,4,True,19.94,1,1244,0,0
TXN_00036,15,742,2694.84,UPI,43.12,349,Digital_Goods,0,False,20.24,0,710,0,0
TXN_00037,190,166,991.52,Card,15.01,453,Electronics,1,False,6.46,2,754,1,0
TXN_00038,190,694,9663.82,Wallet,54.96,49,Apparel,0,False,103.05,1,261,0,0
TXN_00039,175,1980,6761.63,Card,118.31,376,Digital_Goods,0,False,13.33,2,1192,1,0
TXN_00040,190,205,7290.97,Card,3.58,12,Digital_Goods,1,False,2.42,1,641,2,1
TXN_00041,51,878,10415.04,UPI,29.27,167,Furniture,0,True,29.5,0,441,0,0
TXN_00042,108,245,8501.26,UPI,8.09,75,Apparel,2,False,37.66,1,1215,2,0
TXN_00043,55,1895,5087.16,UPI,83.2,329,Furniture,3,False,21.16,1,1060,0,0
TXN_00044,64,1357,86659.61,UPI,47.61,84,Apparel,1,False,22.01,2,1374,0,0
TXN_00045,131,943,1051.57,Card,105.87,622,Apparel,4,False,23.99,3,484,0,0
TXN_00046,51,1420,2431.59,Wallet,3.26,51,Digital_Goods,0,False,55.43,0,378,0,1
TXN_00047,135,821,15690.35,UPI,118.08,567,Apparel,2,False,14.24,1,1447,0,0
TXN_00048,21,507,5831.93,UPI,3.48,41,Electronics,1,False,135.11,1,1435,0,0
TXN_00049,73,1953,12203.86,NetBanking,16.96,233,Grocery,0,False,23.06,1,1038,0,0
TXN_00050,167,924,6025.21,Card,8.49,479,Grocery,0,True,26.11,1,398,0,0
TXN_00051,18,1145,25562.15,Card,7.86,70,Electronics,0,False,7.66,3,489,0,0
TXN_00052,132,1283,1467.02,UPI,9.42,558,Furniture,3,False,30.02,2,78,0,0
TXN_00053,89,1746,24611.08,Card,32.72,1226,Digital_Goods,1,False,57.24,2,278,0,0
TXN_00054,60,410,20034.19,NetBanking,76.71,186,Furniture,1,False,19.83,1,1286,0,0
TXN_00055,14,310,1150.16,NetBanking,114.28,0,Electronics,1,False,10.26,0,449,1,0
TXN_00056,9,1832,10475.54,UPI,41.84,259,Furniture,3,False,70.04,2,468,0,0
TXN_00057,90,1730,4667.37,Wallet,8.58,930,Digital_Goods,0,False,43.38,1,1353,2,0
TXN_00058,53,68,2373.45,Card,4.13,437,Digital_Goods,0,False,32.24,2,837,0,0
TXN_00059,130,114,509.62,UPI,34.07,485,Apparel,0,False,23.4,2,1385,0,0
TXN_00060,84,220,1461.22,UPI,72.49,628,Furniture,1,False,16.12,3,1259,0,0
TXN_00061,92,220,11495.77,UPI,48.4,955,Apparel,0,False,5.91,1,705,0,0
TXN_00062,111,1497,13050.86,UPI,43.71,53,Grocery,2,False,14.84,0,62,1,0
TXN_00063,188,730,3816.72,NetBanking,2.47,356,Apparel,1,False,15.39,1,587,0,0
TXN_00064,199,749,13100.19,UPI,26.51,881,Grocery,2,False,19.63,7,1361,0,0
TXN_00065,172,943,15280.18,UPI,39.97,598,Digital_Goods,0,False,15.25,2,1477,0,0
TXN_00066,8,386,5916.9,UPI,45.6,114,Apparel,0,False,1.13,2,950,0,0
TXN_00067,175,1322,2065.65,Card,0.24,830,Furniture,1,False,16.72,0,761,0,0
TXN_00068,35,930,8343.72,UPI,11.13,139,Apparel,0,False,0.45,0,1183,0,0
TXN_00069,81,1630,8816.51,UPI,149.57,211,Apparel,0,False,64.02,3,596,0,0
TXN_00070,164,1277,11033.96,UPI,35.53,82,Furniture,2,False,10.12,2,225,0,1
TXN_00071,50,405,13883.88,UPI,60.81,865,Apparel,3,False,6.13,0,135,1,0
TXN_00072,104,492,958.53,UPI,18.42,39,Furniture,2,False,48.06,6,239,0,0
TXN_00073,132,357,2665.33,Card,44.02,2000,Grocery,2,False,142.9,2,987,0,0
TXN_00074,2,1452,503.54,UPI,22.04,159,Electronics,1,False,122.4,2,347,0,0
TXN_00075,134,215,12044.88,Card,17.62,496,Digital_Goods,1,False,38.32,2,634,0,0
TXN_00076,54,1404,3809.4,UPI,26.5,55,Digital_Goods,2,False,20.45,2,1153,0,0
TXN_00077,106,1794,8241.82,UPI,30.79,267,Furniture,1,False,11.94,1,279,0,0
TXN_00078,4,1883,836.47,UPI,20.11,16,Grocery,1,False,23.22,1,818,0,0
TXN_00079,54,752,26401.52,Card,14.92,842,Digital_Goods,1,False,2.18,1,1352,0,0
TXN_00080,191,827,1172.38,UPI,48.88,236,Electronics,2,False,42.33,5,747,0,0
TXN_00081,146,1238,12450.0,Card,23.96,543,Electronics,0,False,114.11,2,371,0,0
TXN_00082,44,1122,5662.04,Card,11.27,899,Electronics,1,False,52.52,3,1182,0,0
TXN_00083,162,528,3915.38,UPI,71.02,28,Grocery,2,False,46.36,2,495,0,0
TXN_00084,190,916,3553.92,Card,64.32,286,Furniture,0,False,16.09,2,387,0,0
TXN_00085,14,666,2285.46,Wallet,108.94,84,Furniture,0,False,28.13,3,582,1,0
TXN_00086,95,1552,23254.07,Card,40.49,28,Digital_Goods,1,False,147.39,1,846,0,0
TXN_00087,48,710,4989.72,Card,16.39,389,Electronics,1,False,64.9,0,476,0,1
TXN_00088,15,1644,1071.63,UPI,99.65,48,Grocery,1,False,3.12,3,543,0,0
TXN_00089,200,535,3100.28,Card,16.45,270,Digital_Goods,3,False,9.99,1,1049,1,0
TXN_00090,190,554,5733.07,UPI,53.3,87,Furniture,0,False,27.53,2,897,0,0
TXN_00091,40,1573,14434.35,UPI,10.56,88,Grocery,2,False,87.89,0,1196,1,0
TXN_00092,82,328,2379.05,UPI,49.6,296,Electronics,0,False,115.5,2,448,0,0
TXN_00093,111,902,2577.74,UPI,91.9,324,Apparel,1,False,19.16,0,345,0,0
TXN_00094,53,1189,5054.93,Card,38.82,1,Grocery,0,False,9.26,0,1264,0,0
TXN_00095,24,1140,14018.17,Card,31.83,277,Grocery,1,False,6.36,0,1435,0,0
TXN_00096,154,150,950.98,Card,251.59,443,Digital_Goods,2,False,4.1,1,596,0,0
TXN_00097,188,1542,9013.02,UPI,1.14,453,Grocery,1,False,8.38,0,243,0,0
TXN_00098,124,1056,2816.15,NetBanking,20.15,758,Furniture,2,False,5.06,3,763,0,0
TXN_00099,41,657,3329.84,Card,125.42,902,Furniture,1,False,33.03,0,1195,0,0
TXN_00100,157,806,54278.9,Card,51.45,390,Grocery,2,False,68.19,1,634,0,1
TXN_00101,15,1937,3882.51,Card,39.05,262,Digital_Goods,3,False,17.07,1,822,0,0
TXN_00102,45,293,12156.66,UPI,50.76,91,Electronics,1,False,34.64,0,192,0,0
TXN_00103,65,919,11645.75,Card,19.43,54,Grocery,1,True,101.4,3,1347,0,0
TXN_00104,89,689,1192.7,UPI,3.69,375,Electronics,1,False,121.03,1,1168,1,0
TXN_00105,71,957,536.75,UPI,16.09,1171,Furniture,1,False,20.78,2,1453,0,0
TXN_00106,9,1201,13163.18,NetBanking,20.51,130,Apparel,1,False,63.33,2,80,0,0
TXN_00107,88,1085,1339.09,UPI,32.68,41,Electronics,0,False,3.57,0,1267,0,0
TXN_00108,129,1613,667.13,UPI,25.04,220,Grocery,0,False,40.86,3,89,0,0
TXN_00109,136,416,16838.02,Card,36.8,0,Grocery,0,False,42.99,0,527,0,0
TXN_00110,63,1407,1446.19,UPI,10.91,322,Electronics,3,False,37.88,0,1432,0,0
TXN_00111,139,598,1944.93,UPI,10.17,20,Furniture,1,True,8.66,0,1091,1,0
TXN_00112,81,1727,52535.68,NetBanking,21.67,1069,Apparel,0,False,52.67,1,717,0,0
TXN_00113,136,7,670.7,Card,32.1,815,Apparel,2,False,12.63,2,592,1,0
TXN_00114,163,918,1088.39,Wallet,20.91,48,Digital_Goods,1,False,119.57,1,1044,0,0
TXN_00115,163,85,2830.93,UPI,42.97,63,Apparel,0,False,4.46,1,1411,0,0
TXN_00116,33,774,3683.77,UPI,18.55,1226,Electronics,1,False,54.09,1,520,0,0
TXN_00117,123,957,1681.61,UPI,9.75,671,Furniture,0,False,23.69,1,1132,0,0
TXN_00118,5,1422,1223.67,NetBanking,99.33,1139,Furniture,2,False,19.25,0,697,1,0
TXN_00119,41,1936,30091.35,UPI,11.19,162,Electronics,0,False,17.39,0,1289,2,0
TXN_00120,28,1795,6738.44,UPI,170.02,47,Furniture,0,False,22.3,0,1459,0,0
TXN_00121,135,1417,9918.95,Wallet,218.72,382,Digital_Goods,2,False,12.71,0,22,0,0
TXN_00122,72,1071,4168.58,UPI,59.67,1360,Apparel,1,False,88.82,0,1164,0,0
TXN_00123,12,1365,6955.9,UPI,34.86,55,Electronics,1,False,47.41,1,692,2,0
TXN_00124,162,1522,15055.25,Card,79.34,683,Furniture,0,False,64.42,2,1195,0,0
TXN_00125,33,606,1486.89,UPI,103.26,178,Digital_Goods,0,False,12.68,5,41,1,0
TXN_00126,48,1502,6753.41,Card,61.82,49,Digital_Goods,4,False,11.31,0,566,0,0
TXN_00127,151,426,11330.47,UPI,5.38,245,Furniture,3,False,26.8,1,1454,0,0
TXN_00128,62,426,31374.69,Card,0.15,268,Furniture,1,False,59.14,0,183,1,0
TXN_00129,37,736,50892.42,Card,10.65,3,Electronics,0,False,171.49,1,1369,0,0
TXN_00130,99,791,5344.55,NetBanking,10.45,257,Grocery,4,False,22.02,2,79,0,0
TXN_00131,172,515,19271.19,UPI,10.08,417,Digital_Goods,1,False,95.06,1,311,0,0
TXN_00132,104,1153,199.5,Card,35.64,578,Furniture,1,False,128.63,1,1155,0,0
TXN_00133,35,1859,31657.79,Card,36.71,41,Grocery,1,True,0.34,1,612,0,0
TXN_00134,193,1273,2056.87,Card,64.19,836,Furniture,2,False,60.16,1,625,0,0
TXN_00135,101,741,3680.06,Card,11.25,73,Furniture,2,False,26.8,3,475,0,0
TXN_00136,175,1863,8344.23,Card,4.86,429,Digital_Goods,1,False,42.86,1,1115,2,0
TXN_00137,131,131,4088.24,UPI,54.84,321,Grocery,0,False,36.09,0,453,0,0
TXN_00138,1,1764,6221.36,Card,33.08,848,Digital_Goods,2,False,96.51,0,1249,0,0
TXN_00139,5,1713,33031.98,Wallet,54.88,15,Apparel,0,False,9.89,1,237,2,0
